Date,AAPL,JNJ,JPM,KO,MSFT,PEP,PG,XOM
2024-01-02 00:00:00+00:00,183.56219482421875,149.65977478027344,163.00933837890625,55.998600006103516,364.5894775390625,159.6800537109375,139.34532165527344,94.84711456298828
2024-01-03 00:00:00+00:00,182.18777465820312,150.5953369140625,162.29888916015625,56.1296501159668,364.32403564453125,159.71701049804688,138.50216674804688,95.64401245117188
2024-01-04 00:00:00+00:00,179.8739471435547,150.2772216796875,163.37591552734375,55.94243240356445,361.70904541015625,158.3502197265625,139.26100158691406,94.81005096435547
2024-01-05 00:00:00+00:00,179.152099609375,150.74497985839844,164.19561767578125,55.85818099975586,361.52227783203125,156.01380920410156,138.10870361328125,95.0973129272461
2024-01-08 00:00:00+00:00,183.4830780029297,151.1192169189453,163.95733642578125,56.27007293701172,368.34478759765625,156.1708221435547,139.2985076904297,93.51280212402344
2024-01-09 00:00:00+00:00,183.06776428222656,151.21278381347656,162.6610565185547,56.1671028137207,369.4261779785156,154.37925720214844,139.86997985839844,92.35455322265625
2024-01-10 00:00:00+00:00,184.10604858398438,151.4373016357422,163.00416564941406,56.35432815551758,376.28790283203125,154.14837646484375,140.46954345703125,91.44649505615234
2024-01-11 00:00:00+00:00,183.51271057128906,150.7637176513672,162.3179473876953,55.98923873901367,378.1164855957031,153.41879272460938,141.00352478027344,91.42794799804688
2024-01-12 00:00:00+00:00,183.83905029296875,151.9237823486328,161.12652587890625,56.532188415527344,381.89141845703125,154.47158813476562,141.08786010742188,92.61399841308594
2024-01-16 00:00:00+00:00,181.57467651367188,150.17434692382812,160.1162109375,56.15774154663086,383.6609191894531,153.4557647705078,140.32901000976562,90.5198974609375
2024-01-17 00:00:00+00:00,180.6353302001953,150.090087890625,159.25839233398438,56.15774154663086,382.8744812011719,153.70509338378906,140.46954345703125,89.86199951171875
2024-01-18 00:00:00+00:00,186.5187530517578,150.8198699951172,159.57293701171875,56.31687545776367,387.1999816894531,154.37925720214844,139.6597137451172,89.69520568847656
2024-01-19 00:00:00+00:00,189.4159393310547,151.2595672607422,162.32745361328125,56.00796127319336,391.918701171875,153.09559631347656,139.12237548828125,89.83419036865234
2024-01-22 00:00:00+00:00,191.71983337402344,151.99864196777344,162.13685607910156,55.76457214355469,389.7952880859375,152.4768524169922,139.39576721191406,89.71372985839844
2024-01-23 00:00:00+00:00,192.99539184570312,149.5100860595703,161.0693359375,56.02667999267578,392.1447448730469,154.8132781982422,145.16537475585938,90.72373962402344
2024-01-24 00:00:00+00:00,192.32302856445312,148.71485900878906,162.50857543945312,55.146728515625,395.7428283691406,152.92938232421875,143.411865234375,92.28970336914062
2024-01-25 00:00:00+00:00,191.99671936035156,149.2761688232422,164.83421325683594,55.38075637817383,398.0137023925781,153.81591796875,146.7115020751953,94.63400268554688
2024-01-26 00:00:00+00:00,190.2663116455078,149.2200469970703,164.20513916015625,55.57734680175781,397.0896301269531,155.01644897460938,147.20176696777344,95.44015502929688
2024-01-29 00:00:00+00:00,189.58401489257812,149.08908081054688,164.634033203125,55.91434860229492,402.78155517578125,155.28424072265625,147.2206268310547,95.56059265136719
2024-01-30 00:00:00+00:00,185.935302734375,148.53712463378906,168.00814819335938,56.073490142822266,401.6706237792969,156.64178466796875,148.4744873046875,97.15435028076172
2024-01-31 00:00:00+00:00,182.33607482910156,148.65870666503906,166.18763732910156,55.68968200683594,390.8471374511719,155.63519287109375,148.14454650878906,95.26407623291016
2024-02-01 00:00:00+00:00,184.7685089111328,148.1535186767578,165.58717346191406,57.084495544433594,396.9421691894531,158.5626220703125,150.06771850585938,94.87491607666016
2024-02-02 00:00:00+00:00,183.76986694335938,146.5163116455078,166.54031372070312,56.672603607177734,404.2561340332031,157.88848876953125,149.0401153564453,94.4857406616211
2024-02-05 00:00:00+00:00,185.57936096191406,145.75852966308594,166.3210906982422,56.20454406738281,398.78045654296875,157.84231567382812,149.1532745361328,94.09658813476562
2024-02-06 00:00:00+00:00,187.1811981201172,147.87286376953125,166.89295959472656,56.11093521118164,398.6231689453125,158.30409240722656,149.86032104492188,94.74520111083984
2024-02-07 00:00:00+00:00,187.2899932861328,147.79800415039062,167.20748901367188,56.15774154663086,407.0382385253906,158.3502197265625,150.0111541748047,94.71739196777344
2024-02-08 00:00:00+00:00,186.21221923828125,146.31983947753906,166.6070098876953,56.00796127319336,407.0971984863281,160.5481414794922,149.5586395263672,96.33895111083984
2024-02-09 00:00:00+00:00,186.97454833984375,146.65663146972656,166.8071746826172,55.75520706176758,413.4281005859375,154.84097290039062,148.40847778320312,94.30042266845703
2024-02-12 00:00:00+00:00,185.2914276123047,147.67642211914062,167.55059814453125,55.886260986328125,408.22772216796875,157.5560302734375,148.1162109375,95.59766387939453
2024-02-13 00:00:00+00:00,183.20237731933594,146.3853302001953,166.09231567382812,55.55862045288086,399.43914794921875,155.95840454101562,147.3243408203125,94.77466583251953
2024-02-14 00:00:00+00:00,182.3212127685547,145.70237731933594,167.7793731689453,55.5024528503418,403.2998962402344,154.70245361328125,146.72096252441406,94.30706024169922
2024-02-15 00:00:00+00:00,182.0341033935547,147.74188232421875,171.4393768310547,55.60543441772461,400.4141845703125,155.01644897460938,148.02194213867188,97.00984954833984
2024-02-16 00:00:00+00:00,180.4994659423828,147.57220458984375,170.6387481689453,55.5960693359375,397.951904296875,153.5942840576172,148.49330139160156,97.00984954833984
2024-02-20 00:00:00+00:00,179.75694274902344,148.8070831298828,171.30593872070312,56.8223876953125,396.7011413574219,155.7460174560547,149.43609619140625,96.09333801269531
2024-02-21 00:00:00+00:00,180.50938415527344,149.580078125,172.42108154296875,57.327884674072266,396.1003723144531,155.9122314453125,151.2178955078125,98.05728149414062
2024-02-22 00:00:00+00:00,182.53903198242188,151.24853515625,174.48941040039062,57.243629455566406,405.42718505859375,155.37661743164062,151.36874389648438,97.97311401367188
