Date,AAPL,CAT,HD,JPM,MSFT,PG,UNH,XOM
2024-01-02 00:00:00+00:00,183.56219482421875,282.6031494140625,326.4539794921875,163.00933837890625,364.5894775390625,139.34532165527344,514.2646484375,94.84711456298828
2024-01-03 00:00:00+00:00,182.18777465820312,274.4835510253906,320.0020751953125,162.29888916015625,364.32403564453125,138.50216674804688,516.82958984375,95.64401245117188
2024-01-04 00:00:00+00:00,179.8739471435547,276.22137451171875,320.3142395019531,163.37591552734375,361.70904541015625,139.26100158691406,520.06201171875,94.81005096435547
2024-01-05 00:00:00+00:00,179.152099609375,278.9537048339844,324.42950439453125,164.19561767578125,361.52227783203125,138.10870361328125,512.3958740234375,95.0973129272461
2024-01-08 00:00:00+00:00,183.4830780029297,282.15899658203125,329.150146484375,163.95733642578125,368.34478759765625,139.2985076904297,511.5758056640625,93.51280212402344
2024-01-09 00:00:00+00:00,183.06776428222656,282.1976623535156,327.5040588378906,162.6610565185547,369.4261779785156,139.86997985839844,513.33984375,92.35455322265625
2024-01-10 00:00:00+00:00,184.10604858398438,283.2210693359375,337.54132080078125,163.00416564941406,376.28790283203125,140.46954345703125,512.643798828125,91.44649505615234
2024-01-11 00:00:00+00:00,183.51271057128906,281.9755554199219,337.28594970703125,162.3179473876953,378.1164855957031,141.00352478027344,514.5889282226562,91.42794799804688
2024-01-12 00:00:00+00:00,183.83905029296875,280.3825988769531,336.51019287109375,161.12652587890625,381.89141845703125,141.08786010742188,497.26361083984375,92.61399841308594
2024-01-16 00:00:00+00:00,181.57467651367188,277.31243896484375,339.0834045410156,160.1162109375,383.6609191894531,140.32901000976562,495.0133972167969,90.5198974609375
2024-01-17 00:00:00+00:00,180.6353302001953,269.00933837890625,336.5007629394531,159.25839233398438,382.8744812011719,140.46954345703125,500.5341796875,89.86199951171875
2024-01-18 00:00:00+00:00,186.5187530517578,272.1663818359375,338.5820007324219,159.57293701171875,387.1999816894531,139.6597137451172,492.3340148925781,89.69520568847656
2024-01-19 00:00:00+00:00,189.4159393310547,276.7057800292969,342.8486022949219,162.32745361328125,391.918701171875,139.12237548828125,480.1481628417969,89.83419036865234
2024-01-22 00:00:00+00:00,191.71983337402344,279.99383544921875,337.43731689453125,162.13685607910156,389.7952880859375,139.39576721191406,489.1397705078125,89.71372985839844
2024-01-23 00:00:00+00:00,192.99539184570312,280.1490173339844,331.8462829589844,161.0693359375,392.1447448730469,145.16537475585938,491.5521545410156,90.72373962402344
2024-01-24 00:00:00+00:00,192.32302856445312,281.94342041015625,328.5257263183594,162.50857543945312,395.7428283691406,143.411865234375,489.3685607910156,92.28970336914062
2024-01-25 00:00:00+00:00,191.99671936035156,291.73016357421875,332.0260314941406,164.83421325683594,398.0137023925781,146.7115020751953,470.4605712890625,94.63400268554688
2024-01-26 00:00:00+00:00,190.2663116455078,290.4304504394531,336.122314453125,164.20513916015625,397.0896301269531,147.20176696777344,479.8049621582031,95.44015502929688
2024-01-29 00:00:00+00:00,189.58401489257812,294.1356506347656,336.5007629394531,164.634033203125,402.78155517578125,147.2206268310547,481.0826721191406,95.56059265136719
2024-01-30 00:00:00+00:00,185.935302734375,295.6003112792969,337.82513427734375,168.00814819335938,401.6706237792969,148.4744873046875,480.1958312988281,97.15435028076172
2024-01-31 00:00:00+00:00,182.33607482910156,291.2839660644531,333.9085998535156,166.18763732910156,390.8471374511719,148.14454650878906,487.9478759765625,95.26407623291016
2024-02-01 00:00:00+00:00,184.7685089111328,298.4422302246094,340.6349182128906,165.58717346191406,396.9421691894531,150.06771850585938,483.561767578125,94.87491607666016
2024-02-02 00:00:00+00:00,183.76986694335938,305.6197814941406,337.94818115234375,166.54031372070312,404.2561340332031,149.0401153564453,486.50811767578125,94.4857406616211
2024-02-05 00:00:00+00:00,185.57936096191406,311.7401428222656,335.9709777832031,166.3210906982422,398.78045654296875,149.1532745361328,479.5760498046875,94.09658813476562
2024-02-06 00:00:00+00:00,187.1811981201172,313.0205078125,337.0210266113281,166.89295959472656,398.6231689453125,149.86032104492188,486.92767333984375,94.74520111083984
2024-02-07 00:00:00+00:00,187.2899932861328,313.86431884765625,343.1134338378906,167.20748901367188,407.0382385253906,150.0111541748047,495.24224853515625,94.71739196777344
2024-02-08 00:00:00+00:00,186.21221923828125,312.3221435546875,344.0878601074219,166.6070098876953,407.0971984863281,149.5586395263672,495.9096984863281,96.33895111083984
2024-02-09 00:00:00+00:00,186.97454833984375,307.6275634765625,343.5486145019531,166.8071746826172,413.4281005859375,148.40847778320312,494.1265869140625,94.30042266845703
